city,year_month,avg_temp_c,min_temp_c,max_temp_c,total_rain_mm,avg_humidity_pct,avg_cloud_cover_pct,avg_wind_speed_kmh
Chittagong,2015-12,18.88,16.4,24.3,0.0,85.63,59.42,7.14
Chittagong,2016-01,18.98,12.9,25.5,5.4,78.18,29.32,12.45
Chittagong,2016-02,23.36,15.5,30.4,22.6,77.95,33.05,13.75
Chittagong,2016-03,26.92,21.3,33.3,45.3,75.31,47.66,13.57
Chittagong,2016-04,28.57,20.6,32.5,86.3,82.55,46.62,26.8
Chittagong,2016-05,28.47,22.4,34.6,317.2,82.42,48.71,18.02
Chittagong,2016-06,28.3,24.8,32.5,352.3,85.29,84.62,19.11
Chittagong,2016-07,27.64,25.1,31.3,711.6,88.1,95.14,24.02
Chittagong,2016-08,28.01,24.8,31.7,532.2,86.77,87.6,21.54
Chittagong,2016-09,28.18,25.9,32.0,267.1,86.19,90.67,15.69
Chittagong,2016-10,27.81,24.4,32.7,304.5,83.91,60.81,12.13
Chittagong,2016-11,24.1,19.0,32.1,121.7,80.72,25.66,10.01
Chittagong,2016-12,21.68,17.1,28.9,0.0,81.31,21.92,10.93
Chittagong,2017-01,20.01,13.5,27.4,0.0,73.77,7.29,16.89
Chittagong,2017-02,22.63,16.0,29.4,2.3,72.43,7.59,15.03
Chittagong,2017-03,24.39,18.2,29.7,118.6,78.31,34.47,15.07
Chittagong,2017-04,27.2,22.8,32.9,138.7,82.56,42.16,21.55
Chittagong,2017-05,29.05,24.6,34.8,127.1,81.29,36.34,15.47
Chittagong,2017-06,27.99,24.9,32.8,561.8,87.09,91.63,23.94
Chittagong,2017-07,27.58,25.2,32.2,648.0,88.93,94.32,25.02
Chittagong,2017-08,27.98,25.9,31.2,442.5,87.47,93.01,20.49
Chittagong,2017-09,27.96,25.5,32.9,417.3,88.01,89.32,14.89
Chittagong,2017-10,27.37,21.4,32.9,275.5,84.39,58.9,13.12
Chittagong,2017-11,25.06,18.7,31.3,26.1,80.62,25.51,11.79
Chittagong,2017-12,21.51,16.9,27.8,41.9,83.44,38.71,12.25
Chittagong,2018-01,18.58,12.8,25.2,14.9,77.46,19.09,13.59
Chittagong,2018-02,22.31,16.4,29.9,0.5,75.87,32.14,13.0
Chittagong,2018-03,26.08,19.9,31.7,7.8,77.15,20.86,13.73
Chittagong,2018-04,27.67,23.0,32.8,67.5,77.09,37.34,13.54
Chittagong,2018-05,27.56,23.1,32.6,218.7,83.39,51.37,16.51
Chittagong,2018-06,28.06,25.7,31.9,901.4,86.98,87.79,22.03
Chittagong,2018-07,27.89,25.6,32.3,444.5,87.61,96.89,25.24
Chittagong,2018-08,28.21,25.4,32.3,258.0,85.61,94.66,22.18
Chittagong,2018-09,28.44,25.7,33.5,174.9,84.85,77.28,14.74
Chittagong,2018-10,26.65,23.0,32.3,309.4,82.27,43.46,12.14
Chittagong,2018-11,23.73,17.9,29.7,0.6,78.97,27.59,9.53
Chittagong,2018-12,20.66,13.8,27.0,5.2,76.24,26.06,15.01
Chittagong,2019-01,19.84,14.8,28.3,0.2,73.87,9.36,13.84
Chittagong,2019-02,22.24,15.9,29.3,15.4,72.52,20.19,15.11
Chittagong,2019-03,25.5,17.3,33.0,42.2,74.54,23.5,13.69
Chittagong,2019-04,28.78,20.7,36.5,59.5,74.04,29.23,15.81
Chittagong,2019-05,29.6,25.1,34.1,116.2,79.89,34.76,20.08
Chittagong,2019-06,28.98,25.5,33.0,203.4,84.43,80.0,19.11
Chittagong,2019-07,27.87,24.3,31.7,716.2,88.48,91.85,27.02
Chittagong,2019-08,28.34,26.1,32.2,315.7,86.86,90.13,20.32
Chittagong,2019-09,28.23,25.0,33.0,380.1,85.94,88.9,17.5
Chittagong,2019-10,27.75,24.7,33.0,169.2,84.57,49.09,10.22
Chittagong,2019-11,24.99,19.9,31.1,56.2,80.61,22.5,12.17
Chittagong,2019-12,20.45,15.3,28.5,1.7,78.02,24.24,13.93
Chittagong,2020-01,19.19,13.7,26.9,25.8,80.28,22.55,13.89
Chittagong,2020-02,20.75,13.6,29.0,1.8,71.62,20.46,14.92
Chittagong,2020-03,25.66,18.8,33.6,0.0,69.68,22.71,13.49
Chittagong,2020-04,27.45,22.1,32.7,140.7,80.5,44.95,13.61
Chittagong,2020-05,28.5,24.0,34.4,173.1,81.35,44.43,17.74
